Make_Model,Injury_Rate,Fatality_Rate,Survival_Rate,Destroyed_Rate,Minor_Rate,Substantial_Rate,Safety_Score
Boeing 747-300,0.10236220472440945,0.8976377952755905,0.0,1.0,0.0,0.0,22.04724409448819
Cessna 182A,0.27941176470588236,0.23529411764705882,0.4852941176470588,0.32,0.04,0.64,64.65294117647059
Douglas DC-10-30,0.1320754716981132,0.009433962264150943,0.8584905660377359,1.0,0.0,0.0,65.56603773584905
Cessna 177,0.4266666666666667,0.10666666666666667,0.46666666666666656,0.3,0.0,0.7,65.86666666666666
Piper PA-28-140,0.28865979381443296,0.1958762886597938,0.5154639175257733,0.2376237623762376,0.019801980198019802,0.7425742574257426,67.38797591099316
Piper PA-28-161,0.14615384615384616,0.26153846153846155,0.5923076923076922,0.19696969696969696,0.0,0.803030303030303,68.5990675990676
Cessna 150L,0.27692307692307694,0.13846153846153847,0.5846153846153845,0.19047619047619047,0.0,0.8095238095238095,70.95970695970695
Aeronca 7AC,0.4186046511627907,0.09302325581395349,0.48837209302325574,0.13793103448275862,0.034482758620689655,0.8275862068965517,71.06655974338412
Piper PA-32-300,0.2839506172839506,0.12345679012345678,0.5925925925925927,0.2608695652173913,0.043478260869565216,0.6956521739130435,71.39559849704777
Cessna 182,0.20567375886524822,0.16312056737588654,0.6312056737588653,0.21212121212121213,0.0,0.7878787878787878,71.431334622824
Cessna 172M,0.23404255319148937,0.1347517730496454,0.6312056737588653,0.2318840579710145,0.0,0.7681159420289855,71.60345359235276
Cessna 150,0.3157894736842105,0.07518796992481203,0.6090225563909775,0.2553191489361702,0.0,0.7446808510638298,71.66053431450968
Luscombe 8A,0.32653061224489793,0.08163265306122448,0.5918367346938777,0.1935483870967742,0.0,0.8064516129032258,72.25148123765635
Piper PA-28-180,0.3113207547169811,0.09433962264150944,0.5943396226415094,0.15384615384615385,0.0,0.8461538461538461,72.86647314949201
Cessna 172N,0.16417910447761194,0.16417910447761194,0.6716417910447761,0.16911764705882354,0.007352941176470588,0.8235294117647058,73.70390693590869
Piper PA-28-181,0.23404255319148937,0.1276595744680851,0.6382978723404256,0.14,0.0,0.86,73.79574468085107
Piper PA-24-250,0.2807017543859649,0.07017543859649122,0.6491228070175439,0.20689655172413793,0.034482758620689655,0.7586206896551724,74.96672716273443
Piper PA-22,0.3469387755102041,0.02040816326530612,0.6326530612244898,0.16,0.04,0.8,76.57142857142858
Cessna 172P,0.19834710743801653,0.09917355371900827,0.7024793388429752,0.125,0.0,0.875,76.5909090909091
Cessna 182P,0.25316455696202533,0.0759493670886076,0.6708860759493671,0.10256410256410256,0.05128205128205128,0.8461538461538461,78.09477442388835
Piper PA-18,0.15463917525773196,0.08247422680412371,0.7628865979381443,0.14285714285714285,0.0,0.8571428571428571,78.37997054491899
Cessna 172,0.14511041009463724,0.07570977917981073,0.7791798107255521,0.14189189189189189,0.0,0.8581081081081081,79.0233609003325
Cessna 150M,0.21052631578947367,0.05263157894736842,0.736842105263158,0.1,0.0,0.9,79.05263157894737
De havilland DHC-3,0.6923076923076923,0.0,0.3076923076923077,0.0,0.3333333333333333,0.6666666666666666,79.23076923076923
Cessna 152,0.13286713286713286,0.08041958041958042,0.7867132867132867,0.14285714285714285,0.01904761904761905,0.8380952380952381,79.7072927072927
Cessna 180,0.16,0.05,0.7899999999999999,0.05357142857142857,0.0,0.9464285714285714,81.62857142857142
Douglas DC10-10,0.18115942028985507,0.0,0.8188405797101449,0.0,0.0,1.0,84.56521739130434
Boeing 737-300,0.15714285714285714,0.0,0.8428571428571429,0.5,0.5,0.0,90.28571428571428
Boeing 737-291,0.24444444444444444,0.0,0.7555555555555555,0.0,1.0,0.0,112.66666666666666
Douglas DC-10-10,0.05689277899343545,0.0,0.9431072210065645,0.0,1.0,0.0,118.29321663019694
