Event_Id,Accident_Number,Event_Date,Location,Country,Injury_Severity,Aircraft_Damage,Aircraft_Category,Make,Model,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Phase_of_Flight,created_year,created_month,created_day,Total_Injuries,Total_Passengers,Make_Model
20170710X52551,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,Airplane,Douglas,DC9,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,44.0,VMC,Climb,1979,9,17,1.0,45.0,Douglas DC9
20020909X01562,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1982,1,1,0.0,2.0,Cessna 140
20020909X01561,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Airplane,Cessna,401B,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,1982,1,1,0.0,2.0,Cessna 401B
20020917X02148,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,1982,1,2,1.0,1.0,Bellanca 17-30A
20020917X02134,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Fatal,Destroyed,Airplane,Cessna,R172K,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1982,1,2,1.0,1.0,Cessna R172K
20020917X02117,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Fatal,Destroyed,Airplane,Beech,19,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,1982,1,2,2.0,2.0,Beech 19
20020917X01656,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Fatal,Destroyed,Airplane,Cessna,180,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,1982,1,2,3.0,3.0,Cessna 180
20020917X02481,NYC82DA016,1982-01-02,"GALETON, PA",United States,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,1982,1,2,0.0,1.0,Cessna 172
20020917X01894,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,1982,1,2,0.0,1.0,Cessna 152
20020917X01776,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1982,1,2,0.0,2.0,Cessna 150L
20020917X02333,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Incident,Minor,Airplane,Piper,PA-24-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1982,1,3,0.0,1.0,Piper PA-24-180
20020917X02255,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal,Destroyed,Airplane,Grumman,AA-5B,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,Descent,1982,1,3,3.0,3.0,Grumman AA-5B
20020917X01905,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal,Destroyed,Airplane,Cessna,414A,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,1982,1,3,8.0,8.0,Cessna 414A
20020917X02483,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982,1,3,0.0,2.0,Maule M-5-235C
20020917X02340,MIA82DA030,1982-01-03,"COCOA, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Descent,1982,1,3,1.0,2.0,Cessna 210L
20020917X02155,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,1982,1,3,2.0,2.0,Bellanca 7GCBC
20020917X01992,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,1982,1,3,2.0,2.0,Cessna 182
20020917X01960,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,Non-Fatal,Substantial,Airplane,Air tractor,AT-301,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Takeoff,1982,1,3,0.0,1.0,Air tractor AT-301
20020917X02618,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,Fatal,Destroyed,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Cruise,1982,1,4,4.0,4.0,Piper PA-28-161
20020917X02254,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Fatal,Destroyed,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,1982,1,4,2.0,2.0,Piper PA-34-200T
20020917X01880,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal,Destroyed,Airplane,Cessna,T337G,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC,Cruise,1982,1,4,4.0,4.0,Cessna T337G
20020917X01991,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,1982,1,4,2.0,2.0,Piper PA-28R-200
20020917X02410,MIA82FKA05,1982-01-04,SAINT CROIX,Unknown,Fatal,Destroyed,Airplane,Cessna,206,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,1982,1,4,2.0,2.0,Cessna 206
20020917X02253,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,Fatal,Destroyed,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1982,1,5,1.0,1.0,Piper PA-22
20020917X01906,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Fatal,Destroyed,Airplane,Piper,PA-31,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,1982,1,5,2.0,2.0,Piper PA-31
20020917X01993,FTW82DA037,1982-01-05,"LONOKE, AR",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,1982,1,5,1.0,2.0,Piper PA-24-250
20020917X01658,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,1982,1,5,0.0,1.0,Piper PA-28R-200
20020917X02156,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,1982,1,5,0.0,1.0,Cessna TR182
20020917X01651,ANC82FA012,1982-01-05,"BETHEL, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,1982,1,5,2.0,2.0,Cessna A185F
20020917X02423,MKC82DA016,1982-01-06,"ROLLA, MO",United States,Non-Fatal,Substantial,Airplane,Cessna,340,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,1982,1,6,0.0,3.0,Cessna 340
20020917X01913,DEN82DA015,1982-01-06,"JACKSON, WY",United States,Non-Fatal,Substantial,Airplane,Beech,35,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,1982,1,6,0.0,3.0,Beech 35
20020917X01777,CHI82DA021,1982-01-06,"PAXTON, IL",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,1982,1,6,0.0,2.0,Cessna 152
20020917X01757,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,Non-Fatal,Substantial,Airplane,Mooney,M-20J,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,1982,1,6,0.0,2.0,Mooney M-20J
20020917X02242,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,Non-Fatal,Substantial,Airplane,Boeing,A75,1.0,Reciprocating,Unknown,0.0,1.0,0.0,1.0,IMC,Cruise,1982,1,6,1.0,2.0,Boeing A75
20020917X01964,DEN82FA016,1982-01-07,"HELENA, MT",United States,Fatal,Destroyed,Airplane,Cessna,210,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,1982,1,7,2.0,2.0,Cessna 210
20020917X01659,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,Non-Fatal,Substantial,Airplane,Beech,V35,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1982,1,7,0.0,1.0,Beech V35
20020917X02414,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,Fatal,Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,1982,1,8,1.0,1.0,Cessna 172M
20020917X01881,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,Fatal,Destroyed,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,1982,1,8,2.0,2.0,Piper PA-28-140
20020917X02574,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,TU206G,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1982,1,8,0.0,1.0,Cessna TU206G
20020917X02484,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,1982,1,8,0.0,1.0,Cessna 152
20020917X02431,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,1982,1,8,0.0,2.0,Piper PA-24-250
20020917X01779,CHI82DA023,1982-01-08,"PEORIA, IL",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,1982,1,8,0.0,1.0,Cessna 152
20020917X01778,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982,1,8,0.0,2.0,Cessna 172N
20020917X01717,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,1982,1,8,0.0,1.0,Cessna 152
20020917X02246,LAX82DVG12,1982-01-09,"NAPA, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,P210N,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Landing,1982,1,9,1.0,4.0,Cessna P210N
20020917X01995,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1982,1,9,0.0,2.0,Cessna 172
20020917X01994,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-34,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,1982,1,9,0.0,3.0,Piper PA-34
20020917X02283,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1982,1,9,0.0,2.0,Cessna 305 (L-19)
20020917X01981,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,1982,1,9,0.0,1.0,Cessna 182A
20020917X02341,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,1982,1,10,2.0,2.0,Piper PA-23-250
20020917X02158,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,Non-Fatal,Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,1982,1,10,0.0,4.0,Cessna 172N
20020917X01882,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Non-Fatal,Destroyed,Airplane,Piper,23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Takeoff,1982,1,10,0.0,2.0,Piper 23-250
20020917X01719,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,Fatal,Destroyed,Airplane,Mooney,M20G,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Cruise,1982,1,10,2.0,2.0,Mooney M20G
